plant_variety,repeat,fungusID,condition,experimental_replication,EVALUATION,DS,SBSX
William82,1,HS02,inplanta,2,21DAI,10.734375,10.49583333
William82,2,HS02,inplanta,2,21DAI,10.48979592,7.713085234
William82,3,HS02,inplanta,2,21DAI,8.34375,5.5625
NK28P6XF,1,HS10,inplanta,2,21DAI,8.722222222,6.038461538
NK28P6XF,2,HS10,inplanta,2,21DAI,7.204081633,4.385093168
NK28P6XF,3,HS10,inplanta,2,21DAI,7.102040816,5.215561224
NK008PXF,1,HS10,inplanta,2,21DAI,6.571428571,4.015873016
NK008PXF,2,HS10,inplanta,2,21DAI,5.421875,3.475560897
NK008PXF,3,HS10,inplanta,2,21DAI,10.41666667,8.101851852
S-26-E-3,1,HS10,inplanta,2,21DAI,6.950617284,6.454144621
S-26-E-3,2,HS10,inplanta,2,21DAI,,
S-26-E-3,3,HS10,inplanta,2,21DAI,6.975308642,6.075268817
William82,1,HS10,inplanta,2,21DAI,11.44444444,9.932914046
William82,2,HS10,inplanta,2,21DAI,13.52777778,6.613580247
William82,3,HS10,inplanta,2,21DAI,13.52777778,7.475877193
NK28P6XF,1,HS05,inplanta,2,21DAI,8.489795918,3.601731602
NK28P6XF,2,HS05,inplanta,2,21DAI,10.05555556,5.027777778
NK28P6XF,3,HS05,inplanta,2,21DAI,10.75,6.241935484
NK008PXF,1,HS05,inplanta,2,21DAI,9.777777778,7.682539683
NK008PXF,2,HS05,inplanta,2,21DAI,8.805555556,5.116741742
NK008PXF,3,HS05,inplanta,2,21DAI,10.41666667,7.936507937
S-26-E-3,1,HS05,inplanta,2,21DAI,11.44444444,7.282828283
S-26-E-3,2,HS05,inplanta,2,21DAI,11.44444444,8.697777778
S-26-E-3,3,HS05,inplanta,2,21DAI,16,10.94736842
William82,1,HS05,inplanta,2,21DAI,13,9.64516129
William82,2,HS05,inplanta,2,21DAI,13.28,8.172307692
William82,3,HS05,inplanta,2,21DAI,13.94444444,8.366666667
NK28P6xF,1,HS03,detached_leaves,1,7DAI,2,
NK28P6xF,2,HS03,detached_leaves,1,7DAI,5,
NK28P6xF,3,HS03,detached_leaves,1,7DAI,2,
NK008-PXF,1,HS03,detached_leaves,1,7DAI,5,
NK008-PXF,2,HS03,detached_leaves,1,7DAI,0,
NK008-PXF,3,HS03,detached_leaves,1,7DAI,2,
S-26-E-3,1,HS03,detached_leaves,1,7DAI,5,
S-26-E-3,2,HS03,detached_leaves,1,7DAI,15,
S-26-E-3,3,HS03,detached_leaves,1,7DAI,5,
William82,1,HS03,detached_leaves,1,7DAI,15,
William82,2,HS03,detached_leaves,1,7DAI,5,
William82,3,HS03,detached_leaves,1,7DAI,2,
NK28P6XF,1,HS08,detached_leaves,1,7DAI,2,
NK28P6XF,2,HS08,detached_leaves,1,7DAI,5,
NK28P6XF,3,HS08,detached_leaves,1,7DAI,5,
NK008PXF,1,HS08,detached_leaves,1,7DAI,0,
NK008PXF,2,HS08,detached_leaves,1,7DAI,2,
NK008PXF,3,HS08,detached_leaves,1,7DAI,2,
S-26-E-3,1,HS08,detached_leaves,1,7DAI,2,
S-26-E-3,2,HS08,detached_leaves,1,7DAI,0,
S-26-E-3,3,HS08,detached_leaves,1,7DAI,5,
William82,1,HS08,detached_leaves,1,7DAI,40,
William82,2,HS08,detached_leaves,1,7DAI,5,
William82,3,HS08,detached_leaves,1,7DAI,2,
NK28P6XF,1,HS02,detached_leaves,1,7DAI,2,
NK28P6XF,2,HS02,detached_leaves,1,7DAI,5,
NK28P6XF,3,HS02,detached_leaves,1,7DAI,2,
NK008PXF,1,HS02,detached_leaves,1,7DAI,0,
NK008PXF,2,HS02,detached_leaves,1,7DAI,5,
NK008PXF,3,HS02,detached_leaves,1,7DAI,5,
S-26-E-3,1,HS02,detached_leaves,1,7DAI,5,
S-26-E-3,2,HS02,detached_leaves,1,7DAI,5,
S-26-E-3,3,HS02,detached_leaves,1,7DAI,0,
William82,1,HS02,detached_leaves,1,7DAI,5,
William82,2,HS02,detached_leaves,1,7DAI,2,
William82,3,HS02,detached_leaves,1,7DAI,2,
NK28P6XF,1,HS10,detached_leaves,1,7DAI,5,
NK28P6XF,2,HS10,detached_leaves,1,7DAI,5,
NK28P6XF,3,HS10,detached_leaves,1,7DAI,5,
NK008PXF,1,HS10,detached_leaves,1,7DAI,5,
